Customer #	Password	Last Name	First Name	Middle Initial	Birthday	Street	City	State	Zip	SSN	Phone Number	Email	PopcornPoints
5001	hello1	Baker	Christopher	L.	11/23/1949	1245 Lake Anchorage Blvd.	Austin	TX	78705	9075571146	5125550180	cbaker@example.com	110
5002	potato	Banks	Michelle		11/27/1962	1300 Tall Pine Lane	Austin	TX	78712	9042678873	5125550183	banker@longhorn.net	40
5003	painting	Broccolo	Franco	V	10/11/1992	62 Browning Road	Austin	TX	78704	4155659699	5125550128	franco@example.com	30
5004	texas1	Chang	Wendy	L	5/16/1997	202 Bellmont Hall	Round Rock	TX	78681	9075943222	5125550133	wchang@example.com	0
5005	Anchorage	Chou	Lim		4/6/1970	1600 Teresa Lane	Austin	TX	78705	8137724599	5125550102	limchou@gogle.com	40
5006	pepperoni	Dixon	Shan	D	1/12/1984	234 Holston Circle	Austin	TX	78712	2052643255	5125550146	shdixon@aoll.com	20
5007	longhorns	Evans	Jim Bob		9/9/1959	506 Farrell Circle	Georgetown	TX	78628	2102565834	5125550170	j.b.evans@aheca.org	50
5008	aggies	Feeley	Lou Ann	K	1/12/2001	600 S 8th Street W	Austin	TX	78746	4062556749	5125550105	feeley@penguin.org	170
5009	raiders	Freeley	Tesa	P	2/4/1991	4448 Fairview Ave.	Horseshoe Bay	TX	78657	6123255687	5125550114	tfreeley@minnetonka.ci.us	160
5010	mustangs	Garcia	Margaret	L	10/2/1991	594 Longview	Austin	TX	78727	4066593544	5125550155	mgarcia@gogle.com	10
5011	onetime	Haley	Charles	E	7/10/1974	One Cowboy Pkwy	Austin	TX	78712	2148475583	5125550116	chaley@thug.com	40
5012	hampton1	Hampton	Jeffrey	T.	3/10/2004	337 38th St.	San Marcos	TX	78666	9076978613	5125550150	jeffh@sonic.com	150
5013	jhearn22	Hearn	John	B	8/5/1950	4225 North First	Austin	TX	78705	5208965621	5125550196	wjhearniii@umich.org	0
5014	hickhickup	Hicks	Anthony	J	12/8/2004	"32 NE Garden Ln., Ste 910"	Austin	TX	78712	7355788965	5125550188	ahick@yaho.com	60
5015	ingram2015	Ingram	Brad	S.	9/5/2001	6548 La Posada Ct.	New York	NY	10101	9074678821	5125550116	ingram@jack.com	20
5016	toddy25	Jacobs	Todd	L.	1/20/1999	4564 Elm St.	Austin	TX	78729	9074653365	5125550166	toddj@yourmom.com	170
5017	something	Lawrence	Victoria	M.	4/14/2000	6639 Butterfly Ln.	Beverly Hills	CA	90210	9079457399	5125550173	thequeen@aska.net	130
5018	Password1	Lineback	Erik	W	12/2/2003	1300 Netherland St	Austin	TX	78758	3032449976	5125550167	linebacker@gogle.com	60
5019	aclfest2017	Lowe	Ernest	S	12/7/1977	3201 Pine Drive	New Braunfels	TX	78130	7135344627	5125550187	elowe@netscare.net	20
5020	nothinggood	Luce	Chuck	B	3/16/1949	2345 Rolling Clouds	Cactus	TX	79013	9546983548	5125550141	cluce@gogle.com	180
5021	whatever	MacLeod	Jennifer	D.	2/21/1947	2504 Far West Blvd.	Marble Falls	TX	78654	9074748138	5125550185	mackcloud@george.com	170
5022	whocares	Markham	Elizabeth	P.	3/20/1972	7861 Chevy Chase	Kissimmee	FL	34741	9074579845	5125550134	cmartin@beets.com	100
5023	xcellent	Martin	Clarence	A	7/19/1992	87 Alcedo St.	Austin	TX	78709	9204955201	5125550151	clarence@yoho.com	130
5024	snowsnow	Martinez	Gregory	R.	5/28/1947	8295 Sunset Blvd.	Red Rock	TX	78662	9078746718	5125550120	gregmartinez@drdre.com	20
5025	mydogspot	Miller	Charles	R.	10/15/1990	8962 Main St.	South Padre Island	TX	78597	9077458615	5125550198	cmiller@bob.com	20
5026	spotmydog	Nelson	Kelly	T	7/13/1971	2601 Red River	Disney	OK	74340	9072926966	5125550177	knelson@aoll.com	110
5027	joejoejoe	Nguyen	Joe	C	3/17/1984	1249 4th SW St.	Del Rio	TX	78841	2023125897	5125550174	joewin@xfactor.com	150
